model,router_mode,expert_mode,shared_mode,seed,mean_per_scenario,test_auc_all,s0_auc,s1_auc,s2_auc,s3_auc,s4_auc,s5_auc,s6_auc,s8_auc
fully-routed,none,none,none,42,0.7154,0.7690,0.6859,0.7172,0.7846,0.7199,0.7130,0.6031,0.7274,0.7724
partial-shared,none,none,none,42,0.7094,0.7619,0.6624,0.7080,0.7765,0.7103,0.7099,0.6592,0.7113,0.7380
fully-routed,none,encourage,none,42,0.7176,0.7688,0.6837,0.7181,0.7760,0.7191,0.7123,0.6330,0.7229,0.7757
partial-shared,none,none,encourage,42,0.7130,0.7667,0.6677,0.7146,0.7950,0.7095,0.7048,0.6738,0.7231,0.7152
fully-routed,none,suppress,none,42,0.7206,0.7693,0.6879,0.7178,0.7850,0.7233,0.7155,0.6220,0.7229,0.7901
partial-shared,none,none,suppress,42,0.7087,0.7625,0.6665,0.7077,0.7888,0.6823,0.7021,0.6964,0.7208,0.7048
fully-routed,encourage,none,none,42,0.7166,0.7680,0.6841,0.7157,0.7842,0.7067,0.7112,0.6337,0.7207,0.7764
partial-shared,none,encourage,none,42,0.6761,0.7596,0.6666,0.7068,0.7774,0.6509,0.6983,0.6380,0.7125,0.5580
fully-routed,encourage,encourage,none,42,0.7242,0.7684,0.6829,0.7163,0.7842,0.7407,0.7144,0.6437,0.7201,0.7913
partial-shared,none,encourage,encourage,42,0.7140,0.7645,0.6704,0.7118,0.7833,0.7452,0.7060,0.6610,0.7228,0.7114
fully-routed,encourage,suppress,none,42,0.7108,0.7687,0.6818,0.7170,0.7804,0.6970,0.7123,0.6332,0.7297,0.7350
partial-shared,none,encourage,suppress,42,0.6932,0.7612,0.6651,0.7068,0.7795,0.6624,0.7000,0.6621,0.7209,0.6486
fully-routed,suppress,none,none,42,0.7189,0.7707,0.6882,0.7205,0.7792,0.7037,0.7121,0.6465,0.7285,0.7724
partial-shared,none,suppress,none,42,0.6681,0.7534,0.6295,0.6968,0.7735,0.6184,0.6922,0.6675,0.6858,0.5808
fully-routed,suppress,encourage,none,42,0.7173,0.7715,0.6910,0.7209,0.7831,0.7328,0.7170,0.6228,0.7249,0.7461
partial-shared,none,suppress,encourage,42,0.6919,0.7610,0.6568,0.7074,0.7786,0.6558,0.7047,0.6284,0.7112,0.6922
fully-routed,suppress,suppress,none,42,0.7225,0.7714,0.6905,0.7213,0.7862,0.7385,0.7102,0.6345,0.7275,0.7710
partial-shared,none,suppress,suppress,42,0.7034,0.7599,0.6571,0.7052,0.7799,0.6879,0.6994,0.6665,0.7147,0.7161
partial-shared,encourage,none,none,42,0.6892,0.7619,0.6620,0.7073,0.7852,0.6276,0.7052,0.6731,0.7152,0.6377
partial-shared,encourage,none,encourage,42,0.6838,0.7637,0.6540,0.7115,0.7821,0.6394,0.7025,0.6361,0.7155,0.6290
partial-shared,encourage,none,suppress,42,0.6628,0.7525,0.6487,0.6951,0.7682,0.6024,0.6851,0.6451,0.6997,0.5583
partial-shared,encourage,encourage,none,42,0.6950,0.7587,0.6513,0.7040,0.7835,0.7212,0.6943,0.6554,0.7125,0.6377
partial-shared,encourage,encourage,encourage,42,0.6718,0.7625,0.6619,0.7096,0.7851,0.6682,0.7029,0.6420,0.7195,0.4855
partial-shared,encourage,encourage,suppress,42,0.6888,0.7497,0.6426,0.6905,0.7777,0.6378,0.6784,0.6312,0.6903,0.7622
partial-shared,encourage,suppress,none,42,0.6781,0.7540,0.6450,0.6959,0.7770,0.6676,0.6945,0.6416,0.7004,0.6025
partial-shared,suppress,encourage,none,42,0.7077,0.7676,0.6783,0.7156,0.7905,0.6596,0.7069,0.6660,0.7177,0.7266
partial-shared,encourage,suppress,encourage,42,0.6815,0.7608,0.6491,0.7071,0.7787,0.6660,0.7006,0.6538,0.7053,0.5911
partial-shared,suppress,encourage,encourage,42,0.7070,0.7653,0.6660,0.7127,0.7844,0.7133,0.7094,0.6256,0.7208,0.7239
partial-shared,encourage,suppress,suppress,42,0.6741,0.7498,0.6294,0.6916,0.7723,0.6105,0.6780,0.6444,0.6920,0.6744
